Province,District,Constituency,Winner,Candidate,Votes,Margin,Wikipedia
4,Baglung,Baglung 1,Janamorcha,"चित्र बहादुर के.सी.",50723,0.051633,"https://en.wikipedia.org/wiki/Baglung_1_constituency"
4,Baglung,Baglung 2,Maoist,"देवेन्द्र पौडेल",48090,0.095675,"https://en.wikipedia.org/wiki/Baglung_2_constituency"
4,Gorkha,Gorkha 1,NC,"राजेन्द्र बजगाई",57231,0.290804,"https://en.wikipedia.org/wiki/Gorkha_1_constituency"
4,Gorkha,Gorkha 2,Maoist,"पुष्प कमल दाहाल {प्रचन्ड}",50918,0.264543,"https://en.wikipedia.org/wiki/Gorkha_2_constituency"
4,Kaski,Kaski 1,UML,"मन बहादुर गुरुङ्ग",65137,0.038672,"https://en.wikipedia.org/wiki/Kaski_1_constituency"
4,Kaski,Kaski 2,UML,"विधा भटटराई",47156,0.095492,"https://en.wikipedia.org/wiki/Kaski_2_constituency"
4,Kaski,Kaski 3,UML,"दामोदर पौडेल वैरागी",58051,0.093797,"https://en.wikipedia.org/wiki/Kaski_3_constituency"
4,Lamjung,Lamjung 1,UML,"पृथ्‍वी सुव्वा गुरुङ",77841,0.041032,"https://en.wikipedia.org/wiki/Lamjung_1_constituency"
4,Manang,Manang 1,NC,"टेक बहादुर गुरुङ",4827,0.067951,"https://en.wikipedia.org/wiki/Manang_1_constituency"
4,Mustang,Mustang 1,NC,"योगेश गौचन  थकाली",7170,0.127476,"https://en.wikipedia.org/wiki/Mustang_1_constituency"
4,Myagdi,Myagdi 1,NC,"खम बहादुर गर्बुजा",47614,0.080481,"https://en.wikipedia.org/wiki/Myagdi_1_constituency"
4,Nawalpur,Nawalpur 1,NC,"शशांक कोइराला",82567,0.024465,"https://en.wikipedia.org/wiki/Nawalpur_1_constituency"
4,Nawalpur,Nawalpur 2,NC,"विष्णु कुमार कार्की",81626,0.024772,"https://en.wikipedia.org/wiki/Nawalpur_2_constituency"
4,Parbat,Parbat 1,UML,"पदम गिरी",63716,0.035517,"https://en.wikipedia.org/wiki/Parbat_1_constituency"
